Title,Body,Views,Being,Becoming,postid
Sharon's #WalkAway,"So happy to be part of this group! I see this movement as the beginning of a New America, breaking free from the shackles of incivility, hatred, fear mongering, identity politics, discrimination and reversing the march towards socialism and the NWO! My heartfelt Thank You to Brandon and all the Patriots! As a teenager, I shook hands with JFK at the American Embassy in Rome, where my father was assigned in the Army Attache. JFK was my idol. A few months later he was assassinated. It shook me to my core. Then Robert Kennedy & Martin Luther King were assassinated. A dark time for America. Having lived most of my childhood overseas, Africa, Teheran, Rome, New Delhi, I pretty much ignored politics in my younger years and went on with my life taking care of others as a Respiratory Therapist. At age 21 I fell in love with a woman, and remained in the closet for many years due to far right discrimination. Never got involved with gay rights movement though many of my friends did, applaud them for that, and many are far left feminists. To this day I am to a degree semi-closeted, and now a VERY closeted Trump supporter. No fun. Voted for Democrats most of my adult life, even supported Hillary in the 2008 primary over Obama. My #walkaway moment came when I could not vote for Obama because he boldly claimed he would take $167 B out of Medicare Advantage to pay for Obamacare. I am very protective of my senior clients. A gay friend called me a racist. Excuse me? I have spent my entire career taking care of patients of all stripes and you call me a racist. This is wrong. As Obama continued his term with lofty oration, I saw our country was on a path to 3rd world status, escalating the borrowed money from China to pay our debt. I knew Obamacare would fail. Went to the halls of Congress with a 3 page letter to combat the ACA bill. Went to a Tea Party rally in DC. It was huge...2 million according to police on streets, MSM immensely underestimated numbers. Hard for me to vote Republican in 2012...but I did it. Our country was being given away, piece by piece. Then there was Fast & Furious, Benghazi, Iran deal behind our backs, ISIS, letting Crimea be overtaken and I studied up on the housing bubble burst which affected so many. Found out the idea that ""everyone should own a home"" started with the Communty Reinvestment Act of 1977 with Carter, changes made under Clinton and carried out through the Bush years. Even if you had bad credit you could get a loan. Banks were encouraged to make subprime loans. Greed set in and Wall Street bundled these loans and bet that the whole thing would fail. It did and the politicians on both sides knew it, did nothing to stop it, and had to bail out the banks at our expense. What a sham of a government. Time to wake up! Down the escalator comes Trump. Hmmm, pretty brash...but as the campaign progressed, he seemed to have some common sense ideas on how to fix our problems and bring our jobs back. MSM all over him. I still watched CNN then along with FOX. I voted for Rubio in primary, but had come around to giving Trump a chance by election day. I was shocked he won with all the negative press. But secretly I was thrilled. No way I could share this with my gay friends. Sad. So we all know what Trump has accomplished in regard to our economy in his short term in office despite the constant MSM bashing. I have come to love what he is doing for us, ALL of us. He loves our country as I do. He didn't have to give up his cushy NY condo for the WH. He could be retired, playing golf everyday. But instead he is working tirelessly and fearlessly to right the ship of our Nation, to restore it's economic viability, to weed out the Deep State made up of D's and R's, which looks out for it's own interests at the expense of the citizenry. He respects our Constitution and he talks to us daily through his constant tweets. Hated them at first. But now see it really is the best way for him to communicate with us. On the day the NK agreement was signed I posted on FB that it was a good day for the prospect of peace and hoped the process held. Yikes, I get this barrage of Trump hating responses. Had to take the post down. There is much more to come. Many are going through an Awakening process. Trump is the leader of the #GreatAwakening exposing a failed immigration policy, human trafficking, pedo rings, MS13, drug addiction, unbalanced trade, biased media, depleted military assets, horrendous treatment of our veterans. Trump is shining a HUGE flashlight on all the dark corners of World politics. The rats come out and call him names. He doesn't care. This is the beginning of a New America. 40,000 sealed indictments to be released. Go Trump. Go Brandon! Go Patriots! #WWG1WGA Where We Go One We Go All!",740 views,0,1,22
Robin's #WalkAway,"I want to share my story coming from the perspective of a 25 year old millennial. My generation has an incredible disdain for the government and the systems in place that govern society. When I was in high school, we hated America. We hated our public school system, our teachers, the failed concept of marriage and what it means to be a family... and we mentally checked out from all of it and decided it wasn't who we were. We remember 9/11, we remember the influx of fear and airport security and a growing prejudice against Muslims and Hispanics from the daily news and the way our parents spoke about it all. Take that, and the growing fear from the destruction of our ecosystem, and we found solace in rebellion and opted out for finger painting with our hippie friends while listening to Rage Against the Machine. We prayed for a zombie apocalypse so that we wouldn't have to endure living in this world for the rest of our lives. So then Obama came, and he was our political rock star. His campaign was all about HOPE, and he made us feel like something different than whatever the hell this is was actually feasible. Did he deliver? No, and looking back, I think his inability to achieve very much was symbolic of a hard lesson that needs to be learned. But I will always be fond of him and grateful for the symbolic hope we were given. Now we have Donald Trump, and we all lost our minds. We went from one extreme to the other, and now we were faced with this egotistical blubbering buffoon on television that makes you cringe. He doesn't present himself well, and we as well as everyone else ran with that out of fear of the safety of humanity and the power of love. Ever since the presidential campaign began, our entire nation has been spoon fed fear, hate, disgust, and a complete intolerance without consideration. To consider what Trump has to offer this country became an unspeakable act of ignorance and racism, and I believed this as deeply as the next Liberal millennial. Then North Korea and the child separations at the border happened, and I quickly identified the blatant ignorance and lack of education behind our hateful intolerance of the ''evils'' of the world. Once this clicked for me, I spent hours of research and was brave enough to admit what I never thought possible: Trump is probably the best president we have ever had, we have all been brainwashed, and my ''political tribe'' holds hatred to a higher regard than critical thinking and problem solving. Since this change in my worldview, I have experienced what other Trump supporters have had to endure. My friends and family were appalled and refused to consider all of the details, my mother even burst into tears when we discussed the children at the border and it shattered my heart to see her so distraught with a poor understanding of the complexities of things. Since then, I have learned to not tell anyone my political views. Not out of fear, but because I just don't have the mental energy to waste on people that want to be angry, reject solutions, and deny their own right to think for their selves. I'm a college student now and have ditched the angry hippie crowd from my past. I'm majoring in psychology with a minor and sociology because I intend to help lift the barrier between the hopeless and the hopeful, to teach other misfits like myself that curiosity and education will set you on a path towards everything that you think you aren't good enough to be a part of. And I am delighted to be doing this in a time when we have a president that will lay the foundations for a society that can make my dreams and others realistically obtainable. Obama gave me hope, but Trump gives me the reassurance that my personal endeavors will not be in vain as the resources will be provided to the ones that seek to repair this mess; ''You'll find the light in the strangest of places if you look at it right'' - The Grateful Dead.","1,474 views",0,1,23
Melody's #WalkAway,"I’m an artist and musician from Orlando who grew up democrat, and only ever really knew other liberals in my social circles. Bought into the propaganda, without much of a thought, that republicans/conservative were strictly for big business/the rich and that they had an ignorant prejudice against anyone, anything, and anybody that wasn’t status quo. Voted for Gore, Kerry and Obama both terms. The second term of Obama I noticed the media starting to cover certain things up, and straight out lie about others. That was the first red flag about the Democratic Party for me, but still saw them as the lesser of two evils. THEN the whole social justice/identity politics stuff started up. I saw outlandish and hateful all-or-nothing concepts being presented, spiteful rhetoric, extreme divisiveness, stifling of free speech. Just everyone putting themselves into these terrible little compartments that supposedly dictated their entire experience in life, and of course plenty of purity spiral in fighting. None of this was empowering to anyone—only divisive and hateful. Then I saw the party line flip on pretty KEY issues that I just couldn’t believe. People were starting to apologize for and support globalization, TPP, NAFTA, and Monsanto. Add to that all of those extreme SJW ideas were creeping their way into the DNC, and so too was the idea that not all speech is free. Prior to the elections I wasn’t sure I was going to vote at all. Then Pulse happened in Orlando. This was the downtown I grew up hanging out in. I had been there before. I had friends who went there regularly. It was within 20 miles of the house I grew up in. This was just too close to home for me. I really wanted people to wake up, but saw only the same exact msm/liberal response of disarming the public. After that I became a Trump supporter, and of course managed to lose a good 3/4ths of my friends—online friends, music/art networking friends, but worst of all friends I knew in real life for 20+ years that still will not talk to me. Got called all of the obligatory names, harassed, etc. People spread the word around that I was a “nazi” and many collaborators and people I knew for networking blocked me out. Things only got worse when I started criticizing the violence of Antifa. Thanks for creating #WalkAway. It has been a very isolating and difficult period for me over the past few years due to all of this, and it’s so cathartic to see so many different kinds of people all over the US experienced it with me, and that we’re indeed not alone. It’s genuinely heart-warming.","2,190 views",0,1,24
Joe's #WalkAway,"I grew up as a gay man on the East Coast in a Democratic family. In fact my dad was president of the West Side Democratic Club. I also lived in another liberal mecca San Francisco and am also an Army veteran. I met Obama and voted for him twice, but after seeing the film HILLARY'S AMERICA I walked away leaving the theatre. It was basically the dubious history of the Democratic Party which I had no idea about. Anxious to also see DEATH OF A NATION by D'Sousa starting Aug 3. Clinton's criminal acts continued to escalate and I was quickly disengaging myself from all of this. But it was all the VIOLENCE and HATRED by the Left during and after the presidental election that pushed me over the edge. I no longer wanted to be associated with this kind of behavior. Working in New York I understood Trump's lingo and that was precisely his unfiltered street talk that got him elected by middle America. People could understand him and he was for the average blue collar worker, not catering to movie stars, singers and the elites on both coasts like Hillary. She had no problem with taking huge sums of money from Arabic countries that kill gays and hate women. Basically she has no respect for herself. As a gay man we are told we must be Democrat and the same with Black Americans and Hispanics. This is changing. Once you start to think for yourself it is easy to walk away. Admitting you are a Republican is the new ""coming out!"" The reason Democrats are for open borders and illegal immigrants is because then those people feel obligated to vote for them. Hence it all boils down to political gain and greed. I would like to conclude with a quote from Winston Churchill ""The fascists of the future will call themselves anti-fascists."" And President Reagan said, ""If fascism ever comes to America, it will come in the name.of Liberalism."" BEWARE","1,424 views",0,1,25
Danny's #WalkAway,"Hi folks! My name is Danny. First and foremost I am a proud patriotic American. I'm so happy to have discovered this group and applaud the bravery and great movement Brandon has started. I decided to#WalkAway  Back in 2016 when I discovered how corrupt and misleading the democratic party was being to the public and especially to minorities like myself and my husband. I'm in the entertainment business and as you can probably already guess my views and beliefs were and have been demonized harshly. Since I came out as a non democrat many of my so-called friends have either stop talking to me, deleting me on social media and many in the theater community here have basically blacklisted me from being apart of any shows etc. People now have made it very difficult to find any auditions or acting jobs at all. I'm also a DJ and never get asked to spin in clubs anymore. No one calls etc etc. Luckily I have found creative inspiration in doing my own music podcast show now and slowly have started to build a new audience. At least that way i can still be the artist that i am inside. For the last two years I have been met with the kind of hatred and feelings of exclusion that i haven't felt since the days of being harassed and attacked for being openly gay in high school. I was always taught and told that gays or minorities in general should always be democrats and that the republicans hate us etc etc. I believed that lie for a long long time. On the positive side since i came out as a conservative independent the people on the right and independents have been nothing but kind, understanding, and encouraging. My husband has always been a republication and even before I left the democratic party he never tried to force me to be a republican. He would just say i hope someday you realize that the democratic party is fractured and not for the actual people who love this country. I believe him now. I know that Brandon is an aspiring actor and i just want to tell him that Hollywood and most of the entertainment industry is very bias and is very one sided in politics etc. I wish him the best of luck and hope he can handle there BS. I'm not a Russian robot or a scared little snowflake. Just a proud gay patriotic American that is tired of being lied too. Finally some people like me i can relate too. So happy to be here with all of you guys. Danny Diess Portland, Oregon.",749 views,0,1,26
Jose's #WalkAway,"I am an immigrant from The Dominican Republic. I am an Enrolled Agent Tax Professional involved in the field of tax preparation and audit representation. I always voted Democrat because as an immigrant latino and small business owner, I believed being liberal was right for me until President Trump ran for office. I voted for him and fully support him, but it’s all in secrecy (until now). I was concerned that if my liberal clients, friends, and family found out, my relationships would end, and my business would be affected. After the election, I had to calm down several clients who were in the process of becoming naturalized citizens and other immigration procedures who pay taxes, good people and the perfect example of the kind of Immigrants this nation needs, but they are afraid because of the news (fake media and invented panic). I tell my clients to relax and stay calm, that under this administration they will be better off than with any other administration (because the Democratic party doesn’t care about them as everyone has now seen proven true), and to give Trump a chance and just keep doing what they’re doing so well—working, paying taxes, and being role model citizens. The pure fear and panic caused by the left was ridiculous and hard to watch the effect on these people. It’s so sad we can’t have a mature conversation with a liberal because is it’s their way or nothing. I am sick and tired of the media, sick and tired of the celebrities who are living in the bubble who want to influence us with their nonsense, I am sick and tired of the corrupt politicians who are using the same kind of rhetoric as those of Latin American countries. They don’t represent me. Only smart Latinos can see right through because it’s what we are used to and know (unfortunately), shady corruption—what ruined the economic and security of our countries in Latin America.#WALKAWAY #SICKANDTIRED #LOVEAMERICA","1,446 views",0,1,27
Andrew's #WalkAway,"Legal immigrant from Romania (19 years ago). Citizen 7 years later. Worked my way thru college and became a police officer (my way of giving back the blessings I’ve received by coming here). Never asked for or received any handouts. No such thing as white privilege. I used to vote democrat before I really knew much about politics. My #walkaway moment was during Obama admin’s declared hate for law enforcement and rise of corruption within the Democratic Party. They sadly really do remind me of the communist party back in Romania. The democrats are dangerous for the freedom and future of this country. We must vote them all out! Just look at what they’ve turned America’s major cities into. They’ve demoralized law enforcement while emboldening criminals. They’ve literally made crime legal in some places (trust me, I would know). God bless this great nation and this movement!","1,129 views",1,0,28
Robin's #WalkAway,"How do I synopsize the evolution of my transformation into a small snip-it of information suitable to share here? My journey has been long, emotional, and tumultuous. I am an Apache/Mexican citizen of this beautiful country. The youngest child of a single father. Being as such, I was raised with a backbone, not a wishbone. I was obsessed with politics from a very early age. I was an oddity. I was nearly 16 years old and completely enthralled by The Iran-Contra hearings. As a living, breathing, thinking daughter of a minority father, I was very aligned with the left. My very first vote EVER was for Bill Clinton. I was so excited. As I continued my college education studying political science, I became indoctrinated. There was only ONE right answer to any question. There was no valuable differing opinion. There was only one truth regardless of a person's individuality or beliefs. And if they disagreed, they were stupid. Period. I #walkaway-ed in the 1990's when as my own belief system evolved to include and accept so many more differing belief systems, I was met with so much hostility. Everything really came to a head for me a few years ago. As I became more conservative and independent, people made such assumptions that as an Apache and Mexican female, well I must be liberal. And when it was discovered I was not, well than my non-existent husband must be deciding my beliefs for me. I've been told I'm not a ""real"" Mexican. I'm a race traitor. I'm a Nazi. I've been called a masogynist! Heaven help me when I identify as Christian. (Pun intended). But the beautiful passionate blood that runs through my veins is why I am where I am today. It is the very nature of my fiery blood that tells me no one; no politician no group can better decide what I need, what is right for me than ME. It is my very blood that tells me to love as much as possible, judge seldomly, but always protect myself, my country, and those I love from anyone, or policy that in the end does disservice to it, or them. In fact I didn't walk away, I sprinted. And now that I'm in this race, I intend to win!","2,001 views",0,1,29
Derrick's #WalkAway,I’m in tears with how amazing this group has touched my life in one day. I’m going to be real for a moment I’ve been battling depression and anxiety. I’ve felt in a dark place and since joining this amazing group. I woke up today with a big smile on my face. I want to thank you guys so much. My personal FB page the liberals are deleting me and I don’t even care. They have been nothing but ugly to me. This group is absolutely the best group on FB!! Thank you Brandon for this amazing campaign:)) I love each one of you:)) I’m finally were I wanna be. My Walk Away Fam Bam:)),"4,044 views",NA,NA,30
Chelsea's #WalkAway,"I never was a democrat but I was at one time indifferent. In my adolescent years where I felt sorry for myself, and victimized I am sure I would of voted blue if I could of. I’m from Portland Oregon and it is liberal land. Over the last few years I have watched the liberal city become total alt leftists. It has totally destroyed the city. The liberals passed laws allowing the increasing homeless population (due to a huge heroine epidemic) camp anywhere. What was once a beautiful city is covered in trash, needles, and views of people literally taking shits on the side of the road in broad daylight. I have watched the loose law liberal judges return children repeatedly to incompetent mothers (who could not follow the law to save their lives) and in turn they suffer greatly. We had our freeways constantly shut down due to protestors. My cousin who works downtown was afraid to go to work sometimes, and at times missed out on making money completely due to protests. The protestors would destroy businesses. I watched the kids I grew up with take zero accountability for themselves. Rich kids who had the world handed to them, preaching about the worlds indecencies from their high horses, while never doing anything to make a difference themselves, most of them living off their parents. Portland is a city with a very deep racist history, which I did not know until later on in life. It is no surprise to me that they lean so left as a result after also learning the deep rooted racist history of the Democratic Party, and how they have strategically made promises to minorities all while labeling them victims, and working to keep them dependent instead of empowering them. My husband and I had enough of this ideology, which is one of the many reasons we relocated to the state of Arizona. My husband and I both saw members of our families who insisted on keeping a victim mentality. We both developed a strong work ethic because of it, and refuse to be victims ourselves. While our spoiled friends who had never seen real issues first hand defended government handouts, we knew better. We have both been effected by other people’s use of drugs, alcohol, and desire to be victims. We reject this state of mind and attribute our drive, work ethic, and success to this. A few years ago I would of considered myself somewhere in between still on the political spectrum. However after seeing the hatefulness the left has exhibited since trump has been in office, I have been pushed further and further from being able to remotely relate to the left mentality. Conservatives have become increasingly tolerate, while the left has shown their true colors. Lastly, from the time I was a kid for reasons I didn’t even know I would be teary eyed saying the pledge of allegiance. The older I get the more I realize I am a huge patriot. I love this country and I am thankful to live in it. The fact that people have the nerve to compare our hardships to that of these suffering countries is unreal to me. The fact that people find it an option to love and believe in this great place we call the USA is baffling. First and foremost before anything we are Americans. I cannot support a party who does not believe and stand by the red, white, and blue or the men and women who fought to give us our freedoms. God bless America, and everyone in it!","1,892 views",0,1,31
Mr. Monroe's #WalkAway,"I've been watching this movement from when it was less than 20k members (not that long ago). I'll say a little about myself. I'm a Navy vet, but I served during the Reagan years before the resent series of Military Actions that stirred up the Middle East. I've spent most of my adult life as a ""Jeffersonian Liberal"", and I arrived there through study of History as a hobby, and playing Historical table top games. (pushing around miniature American Civil War, and Napoleonic pewter figurines). As a Jeffersonian Liberal, I most compare with the Libertarian Party, but I vote the Person not the Party. I'm a Small Government, Fiscal Conservative, Social Liberal. As such, I've never really fit into the typical ""Two Party"" mold. I've learned the lessons of History though, and believe me when I tell you that as a Species, we have been down this road before. There is no Right Way to Implement Communism. It goes against Human Nature. We are far too selfish, and barely evolved enough to comprehend the consequences of our current reality, let alone attempt to implement a Fantasy Utopia. I'm out here, on the sidelines watching History being made, and I'm rooting for Love, Civility and Compromise.",664 views,1,0,32
James' #WalkAway,"I was at a job site back in 2016 and I was asked if I voted. I said, “No, I wasn’t very political and not really interested in the whole race for the White House.” The supervisor at the job site was this Hispanic guy and started telling me that I’d better vote for Hillary Clinton because Trump was out to prevent me from making it in this world. I laughed a lil and said , “The Apprentice guy with the bad hair? No way.” He said, “seriously.“ I told him, “Alright, I'll look into this a**hole.” And thank God I did! I was Red Pilled HARD!!!!! The media's dishonesty, Chuck Schumer threatening Trump with the intelligence community, the fake stories and twisting of anything Trump said or did. I could not believe what I was seeing. A literal Orwellian display of the deep state unfolding before my eyes. I was an Obama guy. My mom a life long liberal. I couldn’t believe that I had been fooled all along by my party. Never again. Today I am a proud Conservative. I am living proof that Conservatives are not racist or bigoted. I am of biracial black/Asian heritage. My wife who I love with everything is Muslim. Bring on the dishonesty libs, I live my life every day proving you wrong. God speed President Trump, and please continue to Make America great again.","1,974 views",0,1,33
Kitty Demure's #WalkAway,"My name is Billy. I am a gay drag queen living in southern CA. I walked away. I witnessed drag superstars preach against ""hate and racism"" on stage, and then go back stage and use the N word and talk about Mexicans. I watched the media lie. My own community was racist against my black husband. They disgust me. They are phony and dangerous.","2,875 views",NA,NA,34
Jen's #WalkAway,"I’ve always voted Dem because I grew up in a Union household and married a Union member. I explained to my husband that I could not in good consciousness vote for her. He told me “vote for whoever you want”. And I did. For her to say we voted the way our husbands wanted us to is ridiculous. I am a strong women who thinks for herself. No one tells me who to vote for. As a former Dem, I am ashamed of what this party has become. Liars, thieves, cheats.","1,842 views",0,1,35
